Sl.No,Mol_Smiles,Mol_Code,Pol_DFT,Den_MD,pol_den_product/1000,RI_LL,Pol_geom,nBB,MW_pybel,RI_geom
1054608,N1CNC(NC1)c1cocc1c1cccc(c1)c1cccc2c1cccc2,F5-F15-F16-F9,263.9845,1193.26,315.00214447,1.5766,276.9156,4,355.43234,1.61153834436
947669,C1CSC(CS1)c1c(scc1c1nccs1)C1CCCC1,F7-F14-F6-F10,236.1725,1266.04,299.0038319,1.5447,242.1121,4,353.58876,1.5612663409
1365649,C1NCN(CN1)c1ccc2c(c1)cccc2N1CNCN(C1)c1ccccn1,F9-F16-F9-F11,276.6035,1237.73,342.360450055,1.597,289.4349,4,375.4701,1.63166840384
1368854,c1cc(c(s1)c1cscc1)c1ccc2c(c1)cc(cc2)c1cncs1,F7-F16-F7-F14,291.2062,1292.27,376.317036074,1.6721,303.6842,4,375.52962,1.70945858964
1240739,c1ccc(cn1)c1ncc(c(c1)c1ccc2c(c1)cccc2)c1scnn1,F11-F16-F8-F11,294.5848,1227.12,361.490899776,1.6588,308.8498,4,366.43836,1.69999006933
329047,Oc1ccoc1c1ccnc(c1)c1ccc2c(c1)cccc2,F3-F15-F11-F16,241.5347,1226.34,296.203663998,1.6971,250.3765,4,287.31202,1.73051405529
365366,C1NCN(CN1)c1oc(c(c1)c1ccco1)c1ccccn1,F15-F15-F11-F9,219.666,1254.07,275.47654062,1.6115,235.1699,4,296.32384,1.66627595595
768161,C1NCN(CN1)c1ccnc(c1)c1ncccc1N1CNCNC1,F9-F11-F11-F9,232.4631,1257.52,292.326997512,1.584,244.8744,4,326.39948,1.62283057829
984216,C1CSC(C(S1)c1ncccc1c1cccs1)C1CCCC1,F6-F11-F10-F7,233.1481,1181.84,275.543750504,1.5043,241.761,4,347.56104,1.52652765991
58755,Oc1c(occ1c1ccco1)C1NCNCN1,F15-F15-F9-F3,146.7478,1333.51,195.689658778,1.534,151.0614,4,235.23922,1.55299317337
87189,CC1(CCCC1)c1scc(n1)c1cccnc1,F1-F10-F14-F11,174.1219,1131.52,197.022412288,1.5145,178.6607,4,244.35524,1.53053725703
32271,Sc1cc(c(o1)c1cscc1)S,F2-F15-F2-F7,138.6523,1393.37,193.193955251,1.5887,141.5008,4,214.32764,1.60360049421
10496,c1ccc(cn1)OCc1cscn1,F1-F3-F11-F14,119.5455,1224.18,146.34521019,1.4808,121.7871,4,192.23762,1.49139522117
1068728,C1CCC(C1)c1cc(cc2c1cccc2)c1cncc(c1)c1nccs1,F11-F16-F14-F10,289.0994,1166.87,337.341416878,1.6252,301.1844,4,356.4833,1.65828561171
509168,c1cnc(cn1)c1ccccc1C1CCC(C1)c1cscn1,F10-F14-F5-F12,215.6828,1175.98,253.638659144,1.5288,223.2537,4,307.41268,1.55120641548
1311894,n1ccc(cc1)c1scnc1c1ccc(c2c1cccc2)c1cncs1,F14-F16-F11-F14,270.7073,1264.01,342.176734273,1.6046,292.4384,4,371.47802,1.6661096097
298524,C1CCC(C1)C1CCC(C1)c1cccnc1c1ccccc1,F10-F10-F11-F5,220.3312,1015.3,223.70226736,1.4855,231.6146,4,291.4299,1.51497416712
410675,Cc1ccc(cc1c1cccc2c1cccc2)c1ncsc1,F1-F5-F16-F14,241.7327,1165.73,281.795060371,1.6159,248.1716,4,301.4048,1.63642812998
1298845,Sc1cccc2c1cccc2C1NCNC(N1)c1ccc2c(c1)cccc2,F9-F16-F2-F16,290.2911,1225.7,355.80980127,1.6347,296.0388,4,371.49794,1.65057530684
794604,Sc1cc(cc2c1cccc2)c1cncc(c1)c1cccs1,F11-F16-F7-F2,257.3872,1264.91,325.571643152,1.6868,269.6808,4,319.44322,1.72977511812
576709,Cc1ccc2c(c1C1NCNCN1C1NCNCN1)cccc2,F9-F16-F9-F1,223.2476,1196.18,267.044314168,1.5518,226.9815,4,312.41266,1.56298333509
984427,C1CSC(CS1)(c1cccc(c1)C1CCCC1)c1nccs1,F5-F6-F10-F14,235.496,1192.71,280.87843416,1.5159,240.58,4,347.56104,1.5292144305
324069,C1CC(C(C1)c1cscn1)C1(CCCC1)c1ccco1,F10-F10-F14-F15,184.8363,1129.63,208.796629569,1.4553,189.3325,4,287.41974,1.46817829362
137837,Cc1ccc(cc1)c1nsnc1c1ccccc1,F1-F5-F13-F5,186.1818,1158.0,215.5985244,1.5515,192.3945,4,252.33418,1.57392374551
606630,c1csc(n1)C1CCC(C1)c1cccnc1c1ncsc1,F11-F14-F10-F14,213.5098,1243.62,265.525057476,1.5458,221.2815,4,313.4404,1.56999415843
1419974,C1CSC(CS1)C1CSCC(S1)c1ccc(o1)c1cccnc1,F6-F15-F11-F6,263.4124,1294.67,341.032131908,1.5825,271.7761,4,381.59886,1.60535073998
1183074,c1ccc(cc1)c1ccc2c(c1)cc(cc2)c1cccc(c1)c1cscn1,F5-F16-F5-F14,314.6148,1187.25,373.5264213,1.6942,328.5345,4,363.47418,1.73450324295
206270,CC1NCN(C(N1)c1nccnc1)N1CNCNC1,F1-F9-F12-F9,164.4975,1225.15,201.534112125,1.4817,167.6739,4,264.3301,1.49259456561
795645,Sc1ccc2c(c1)cccc2c1scc(n1)c1ccccc1,F14-F16-F5-F2,255.9397,1243.74,318.322442478,1.6673,268.0042,4,319.44322,1.70807179729
895277,c1ccc(nc1)c1ccc(o1)c1ccc2c(c1)ccc(c2)c1ccco1,F15-F16-F15-F11,337.2302,1224.46,412.924890692,1.8785,352.9217,4,337.3707,1.93763808024
647416,c1ccc(cn1)c1ncccc1c1ccc(s1)c1cnccn1,F7-F11-F11-F12,242.6655,1246.53,302.489825715,1.6333,255.416,4,316.37968,1.67575467898
941039,Oc1ccc(c2c1ccc(c2)c1ccc2c(c1)cccc2)c1cccs1,F3-F16-F16-F7,297.9605,1203.95,358.729543975,1.6857,316.8697,4,352.44824,1.74290130733
516932,Oc1cc(cc2c1cc(cc2)c1ccsc1)c1cccs1,F7-F16-F7-F3,250.5789,1301.52,326.133449928,1.7205,269.6891,4,308.41728,1.7944552329
788762,s1nc(c(n1)c1nccs1)c1ccc(cc1)c1cscc1,F13-F14-F5-F7,228.1313,1360.41,310.352101833,1.6264,247.1333,4,327.44706,1.69341082145
658976,c1ccc(cn1)c1cnc(cn1)c1cncc(c1)c1nccs1,F11-F14-F12-F11,255.8705,1298.57,332.265755185,1.7111,264.6846,4,317.36774,1.74343826138
652341,n1csc(c1)c1ccsc1c1occ(c1)c1nccs1,F7-F14-F15-F14,217.5949,1395.59,303.673266491,1.6363,226.8869,4,316.42112,1.67091875034
1504056,C1NCN(CN1)c1cc2c(cc1C1CSCCS1)cccc2c1nncs1,F8-F16-F9-F6,287.2145,1280.19,367.689130755,1.5753,305.7204,4,415.59854,1.6214292867
